date,party,winner,loser
2014-04-01,nine,M31,M13
2014-04-02,six,M17,M06
2014-04-02,six,M17,M21
2014-04-04,six,M59,M15
2014-04-04,six,M35,M06
2014-04-08,six,M51,M21
2014-04-09,nine,M62,M39
2014-04-10,six,M06,M51
2014-04-15,nine,M05,M62
2014-04-15,nine,M12,M39
2014-04-17,nine,M42,M39
2014-04-18,six,M56,M28
2014-04-19,nine,M11,M42
2014-04-20,six,M20,M15
2014-04-29,nine,M39,M11
2014-05-01,nine,M05,M13
2014-05-02,six,M56,M06
2014-05-10,six,M51,M17
2014-05-10,six,M51,M17
2014-05-14,nine,M31,M39
2014-05-16,nine,M42,M12
2014-05-17,six,M51,M21
2014-05-24,nine,M12,M11
2014-06-05,six,M59,M15
2014-06-08,six,M20,M35
2014-06-09,nine,M42,M39
2014-06-09,nine,M42,M39
2014-06-11,six,M20,M15
2014-06-14,six,M51,M21
2014-06-15,nine,M31,M05
2014-06-18,six,M51,M06
2014-06-21,six,M35,M28
2014-06-21,six,M20,M24
2014-06-21,six,M56,M59
2014-06-23,six,M20,M15
2014-06-23,six,M51,M59
2014-06-23,six,M24,M21
2014-06-29,nine,M12,M42
2014-06-29,six,M51,M17
2014-06-29,six,M21,M28
2014-07-04,nine,M42,M62
2014-07-10,nine,M11,M42
2014-07-10,nine,M49,M31
2014-07-11,six,M28,M17
2014-07-11,six,M56,M15
2014-07-11,six,M56,M28
2014-07-14,six,M28,M17
2014-07-14,six,M51,M21
2014-07-17,nine,M11,M12
2014-07-17,nine,M49,M44
2014-07-17,nine,M49,M44
2014-07-17,nine,M49,M44
2014-07-17,nine,M49,M44
2014-07-18,six,M20,M15
2014-07-20,nine,M11,M39
2014-07-20,nine,M39,M11
2014-07-21,six,M24,M17
2014-07-21,six,M24,M51
2014-07-21,six,M17,M24
2014-07-22,nine,M42,M12
2014-07-22,nine,M11,M12
2014-07-22,nine,M31,M13
2014-07-23,six,M04,M56
2014-07-24,nine,M05,M42
2014-07-24,nine,M49,M31
2014-07-24,nine,M49,M31
2014-07-25,six,M15,M04
2014-08-06,nine,M11,M39
2014-08-16,nine,M44,M49
2014-09-04,six,M51,M15
2014-09-04,six,M51,M15
2014-09-14,nine,M49,M44
2014-09-16,six,M51,M35
2014-09-16,six,M20,M15
2014-09-21,six,M35,M56
2014-09-21,six,M06,M04
2014-09-21,six,M51,M04
2014-09-21,six,M20,M15
2014-10-06,nine,M05,M11
2014-10-07,six,M59,M15
2014-10-16,six,M35,M06
2014-10-17,nine,M31,M44
2014-10-22,six,M56,M17
2014-10-22,six,M56,M17
2014-11-07,nine,M44,M31
2014-11-10,nine,M62,M42
2014-11-18,nine,M05,M12
2014-11-20,six,M35,M15
2014-11-23,nine,M49,M44
2014-11-23,nine,M49,M44
2014-11-23,nine,M31,M49
2014-11-26,six,M51,M17
2014-11-27,nine,M44,M12
2014-11-27,nine,M39,M12
2014-11-28,six,M21,M04
2014-11-28,six,M24,M15
2014-11-28,six,M51,M21
2014-11-28,six,M17,M24
2014-11-28,six,M51,M06
2014-11-29,six,M59,M17
2014-12-08,nine,M44,M12
2014-12-10,six,M51,M06
2014-12-10,six,M17,M51
2015-01-06,six,M17,M21
2015-01-08,six,M28,M56
2015-01-08,six,M51,M20
2015-01-14,nine,M49,M44
2015-01-16,six,M17,M28
2015-01-16,six,M28,M17
2015-01-17,nine,M11,M42
2015-01-20,nine,M42,M12
2015-01-20,nine,M12,M42
2015-01-22,nine,M31,M44
2015-01-22,nine,M42,M39
2015-01-22,nine,M31,M42
2015-01-22,nine,M31,M42
2015-01-22,nine,M31,M42
2015-01-22,nine,M49,M44
2015-01-22,nine,M42,M12
2015-01-22,nine,M42,M12
2015-01-23,six,M17,M21
2015-01-23,six,M59,M15
2015-01-23,six,M17,M21
2015-01-23,six,M21,M04
2015-01-23,six,M20,M15
2015-01-23,six,M59,M04
2015-01-23,six,M35,M59
2015-01-24,nine,M05,M44
2015-01-24,nine,M11,M12
2015-01-25,six,M20,M15
2015-01-25,six,M20,M35
2015-01-25,six,M20,M15
2015-01-26,nine,M42,M12
2015-01-26,nine,M11,M39
2015-01-29,six,M28,M24
2015-01-29,six,M56,M06
2015-01-29,six,M28,M17
2015-01-29,six,M35,M24
2015-01-29,six,M17,M24
2015-01-31,six,M28,M59
2015-02-02,nine,M05,M42
2015-02-02,nine,M31,M44
2015-02-06,six,M35,M59
2015-02-08,six,M24,M28
2015-02-09,nine,M39,M11
2015-02-10,six,M17,M06
2015-02-11,nine,M42,M39
2015-02-11,nine,M49,M44
2015-02-11,nine,M11,M05
2015-02-13,six,M20,M15
2015-02-13,six,M56,M15
2015-02-13,six,M15,M04
2015-02-14,nine,M49,M05
2015-02-15,six,M28,M06
2015-02-16,nine,M42,M05
2015-02-16,nine,M42,M05
2015-02-17,six,M59,M15
2015-02-17,five,M54,M16
2015-02-17,five,M09,M16
2015-02-17,six,M35,M59
2015-02-17,six,M17,M21
2015-02-19,six,M20,M15
2015-02-20,nine,M11,M31
2015-02-20,nine,M11,M05
2015-02-20,nine,M44,M39
2015-02-21,nine,M05,M12
2015-02-23,six,M20,M59
2015-02-23,six,M17,M21
2015-02-25,six,M59,M15
2015-02-25,six,M35,M51
2015-02-28,six,M17,M06
2015-02-28,six,M51,M17
2015-03-01,six,M35,M15
